Published_time,news_content,news_headline
2023-05-12 10:00:00,"FPT - Vẫn còn hợp lý để mua vào (Kỳ 2): Áp dụng mô hình định giá SOTP (Sum Of The Parts) cho các mảng kinh doanh, mức định giá lý thuyết của FPT là 137,823 đồng. Như vậy, các nhà đầu tư...",FPT - Vẫn còn hợp lý để mua vào (Kỳ 2)
2023-05-11 19:01:00,"Góc nhìn 12/05: Tích lũy?: Agriseco dự báo phiên 12/05, VN-Index sẽ tiếp tục duy trì trạng thái tích lũy và dòng tiền tiếp tục hướng vào nhóm vốn hoá vừa và nhỏ.",Góc nhìn 12/05: Tích lũy?
2023-05-11 11:35:00,Thành quả đầu tư của quỹ tỷ đô Dragon Capital “phai màu” sau tháng 4: Thành quả đầu tư tính từ đầu năm nay đến ngày 27/04/2023 của VEIL - quỹ lớn nhất thuộc Dragon Capital - tại thị trường Việt Nam giảm xuống còn 2.55%...,Thành quả đầu tư của quỹ tỷ đô Dragon Capital “phai màu” sau tháng 4
2023-05-10 19:30:00,"Chứng khoán phái sinh Ngày 11/05/2023: Phe Long đẩy mạnh vị thế: Các hợp đồng tương lai tăng điểm trong phiên giao dịch ngày 10/05/2023, basis hợp đồng VN30F2305 thu hẹp so với phiên trước đó và đạt giá trị -4.39...",Chứng khoán phái sinh Ngày 11/05/2023: Phe Long đẩy mạnh vị thế
2023-05-10 08:18:00,"Ngăn chiêu ""lùa gà"" trên sàn chứng khoán: Minh bạch để nâng hạng thị trường: Quy định về minh bạch và công bố thông tin trên thị trường chứng khoán đã có từ lâu song thị trường vẫn chứng kiến hàng loạt sai phạm, đòi hỏi chế...","Ngăn chiêu ""lùa gà"" trên sàn chứng khoán: Minh bạch để nâng hạng thị trường"
2023-05-09 15:25:00,"Nhịp đập Thị trường 09/05: Phân hóa ở các nhóm ngành, chỉ số giằng co quanh tham chiếu: Sau thời gian dài giằng co, thị trường chứng khoán kết phiên 09/05 với kết quả tăng nhẹ trên tham chiếu. VN-Index tăng 0.3 điểm lên 1,053.77 điểm...","Nhịp đập Thị trường 09/05: Phân hóa ở các nhóm ngành, chỉ số giằng co quanh tham chiếu"
2023-05-09 08:00:00,Top cổ phiếu đáng chú ý đầu phiên 09/05: Danh sách các mã cổ phiếu tăng và giảm mạnh nhất những phiên gần đây theo số liệu thống kê của Vietstock.,Top cổ phiếu đáng chú ý đầu phiên 09/05
2023-05-08 16:07:00,"TPS: VN-Index hướng đến vùng 1,100 điểm ở kịch bản tích cực: Tại báo cáo vĩ mô thị trường tháng 5, CTCK Tiên Phong (TPS) đưa ra 3 kịch bản cho VN-Index trong thời gian tới. Ở kịch bản tích cực, VN-Index nhiều...","TPS: VN-Index hướng đến vùng 1,100 điểm ở kịch bản tích cực"
2023-05-08 06:00:00,08/05: Đọc gì trước giờ giao dịch chứng khoán? : Điểm lại những tin tức nổi bật cuối tuần vừa qua.,08/05: Đọc gì trước giờ giao dịch chứng khoán? 
2023-05-06 11:53:00,Hơn 2.2 tỷ cổ phiếu HVN bị chuyển sang diện kiểm soát : Cổ phiếu HVN của Vietnam Airlines sẽ bị chuyển sang diện kiểm soát từ ngày 12/05 vì hãng hàng không quốc gia chậm công bố báo cáo tài chính kiểm toán...,Hơn 2.2 tỷ cổ phiếu HVN bị chuyển sang diện kiểm soát 
2023-05-05 11:05:00,FPT - Vẫn còn hợp lý để mua (Kỳ 1): Ngành công nghiệp ICT của Việt Nam vẫn đang tăng trưởng mạnh trong bối cảnh quá trình chuyển đổi số đang diễn ra ngày càng mạnh mẽ...,FPT - Vẫn còn hợp lý để mua (Kỳ 1)
2023-05-04 19:30:00,"Chứng khoán phái sinh Ngày 05/05/2023: Rủi ro vẫn đang hiện diện: Các hợp đồng tương lai đồng loạt giảm điểm trong phiên giao dịch ngày 04/05/2023, basis hợp đồng VN30F2305 thu hẹp so với phiên trước đó và đạt giá...",Chứng khoán phái sinh Ngày 05/05/2023: Rủi ro vẫn đang hiện diện
2023-05-04 10:00:00,"Tuần 04-05/05/2023: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock: Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: AGR, BCG, HDB, HSG, NVB, SHB, OCB, VPB, VGC và VIC.",Tuần 04-05/05/2023: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock
2023-05-03 14:00:00,"Lý thuyết hộp Darvas (Kỳ 2): Nếu đã quá quen thuộc với câu “mua đáy, bán đỉnh”, thì bây giờ, nhà giao dịch sẽ được tiếp cận với phương thức giao dịch khác là “mua đỉnh, bán đỉnh...",Lý thuyết hộp Darvas (Kỳ 2)
2023-04-28 15:51:00,"Nhịp đập Thị trường 28/04: Tăng đẹp trước kỳ Lễ: Thị trường đã có một phiên khép lại tháng 4 trong sắc xanh tích cực. VN-Index đóng cửa ở mức cao nhất trong ngày tại 1,049 điểm, tăng 9.49 điểm...",Nhịp đập Thị trường 28/04: Tăng đẹp trước kỳ Lễ
2023-04-27 18:50:00,Góc nhìn 28/04: Vận động trong vùng đi ngang ngắn hạn?: KBSV cho rằng chỉ số vẫn đang vận động trong vùng đi ngang ngắn hạn nhưng lại đồng thời chịu chi phối bởi xu hướng giảm trung hạn và điều này không...,Góc nhìn 28/04: Vận động trong vùng đi ngang ngắn hạn?
2023-04-27 08:00:00,Top cổ phiếu đáng chú ý đầu phiên 27/04: Danh sách các mã cổ phiếu tăng và giảm mạnh nhất những phiên gần đây theo số liệu thống kê của Vietstock.,Top cổ phiếu đáng chú ý đầu phiên 27/04
2023-04-26 11:08:00,Chủ siêu dự án “The Spirit of Saigon” trả hơn ngàn tỷ đồng lãi trái phiếu trong năm qua: Công ty TNHH Saigon Glory ngày 25/04 có báo cáo lên Sở Giao dịch Chứng khoán Hà nội (HNX) về tình hình thanh toán gốc lãi năm 2022.,Chủ siêu dự án “The Spirit of Saigon” trả hơn ngàn tỷ đồng lãi trái phiếu trong năm qua
2023-04-25 13:02:00,Phân tích kỹ thuật phiên chiều 25/04: Hồi phục nhẹ: Các chỉ số chính biến động trái chiều cho thấy tâm lý nhà đầu tư chưa thực sự ổn định. Khối lượng giao dịch vẫn còn ở mức thấp nên khó có thể kì vọng...,Phân tích kỹ thuật phiên chiều 25/04: Hồi phục nhẹ
2023-04-24 18:44:00,"Góc nhìn 25/04: Giằng co?: Aseansc cho rằng khả năng thị trường sẽ cần phải tích lũy thêm trước khi có xu hướng rõ ràng hơn. Dự báo trong phiên giao dịch 25/04, sự giằng co có...",Góc nhìn 25/04: Giằng co?
2023-04-24 06:04:00,"24/04: Đọc gì trước giờ giao dịch chứng khoán? : Tuần qua, tiêu điểm thị trường đến từ các ĐHĐCĐ và báo cáo tài chính quý 1 của các doanh nghiệp niêm yết.",24/04: Đọc gì trước giờ giao dịch chứng khoán? 
2023-04-21 19:30:00,"Cổ đông lớn TEL bị phạt 100 triệu đồng vì gom cổ phiếu mà không chào mua công khai: Ngày 19/04/2023, Ủy ban Chứng khoán Nhà nước (UBCKNN) ban hành quyết định xử phạt vi phạm hành chính đối với ông Lại Trung Dũng, cổ đông lớn của CTCP...",Cổ đông lớn TEL bị phạt 100 triệu đồng vì gom cổ phiếu mà không chào mua công khai
2023-04-20 21:00:00,Thế nào là “Copy Trade”?: Nhiều nhà đầu tư chứng khoán cho rằng “Copy Trade” là giải pháp đầu tư khi bạn… không biết phải đầu tư gì. Nhưng chính xác thì đây là gì?,Thế nào là “Copy Trade”?
2023-04-20 13:30:00,"VNDirect: Ngành điện tăng trưởng thận trọng trong 2023, nhiệt điện hưởng lợi: VNDirect dự báo sản lượng điện năm 2023 sẽ tăng trưởng ở mức thận trọng và khả năng cao EVN sẽ tăng giá điện nhờ khung giá điện mới được ban hành.","VNDirect: Ngành điện tăng trưởng thận trọng trong 2023, nhiệt điện hưởng lợi"
2023-04-19 19:30:00,Chứng khoán phái sinh Ngày 20/04/2023: Chờ đợi tín hiệu ngày đáo hạn phái sinh: Các hợp đồng tương lai đồng loạt giảm điểm trong phiên giao dịch ngày 19/04/2023. Khối lượng giao dịch của hợp đồng VN30F2305 tăng khi hợp đồng...,Chứng khoán phái sinh Ngày 20/04/2023: Chờ đợi tín hiệu ngày đáo hạn phái sinh
2023-04-19 10:57:00,"Tài tử “Deadpool” Ryan Reynolds tiết lộ chiến lược đầu tư giúp anh trở thành triệu phú: Chỉ một tháng sau khi T-Mobile mua lại Mint Mobile với giá 1.35 tỷ USD, tài tử “Deadpool” Ryan Reynolds, người được cho là sở hữu 25% cổ phần của...",Tài tử “Deadpool” Ryan Reynolds tiết lộ chiến lược đầu tư giúp anh trở thành triệu phú
2023-04-18 17:11:00,"Vietstock Daily 19/04/2023: Dòng tiền thông minh rút ra, thị trường khó bứt phá: Các chỉ số chính tăng điểm trở lại cho thấy tâm lý nhà đầu tư đã bớt bi quan. Tuy nhiên, rủi ro trong ngắn hạn vẫn đang ở mức cao và thị trường...","Vietstock Daily 19/04/2023: Dòng tiền thông minh rút ra, thị trường khó bứt phá"
